T,X
566,220
567,221
568,222
569,223
570,224
571,225
572,224
573,225
574,224
575,223
576,224
577,225
578,226
579,227
580,228
581,229
582,230
583,231
584,232
585,231
586,232
587,233
588,234
589,233
590,234
591,235
592,236
593,237
594,238
595,239
596,240
597,241
598,240
599,241
600,242
601,243
602,242
603,241
604,242
605,243
606,244
607,243
608,242
609,241
610,242
611,243
612,244
613,245
614,246
615,245
616,244
617,243
618,244
619,243
620,242
621,243
622,242
623,241
624,240
625,241
626,242
627,243
628,244
629,245
630,246
631,247
632,248
633,249
634,250
635,251
636,252
637,253
638,254
639,255
640,254
641,255
642,256
643,257
644,258
645,259
646,260
647,259
648,258
649,259
650,258
651,259
652,260
653,259
654,258
655,257
656,258
657,259
658,260
659,259
660,258
661,259
662,260
663,261
664,260
665,259
666,260
667,259
668,260
669,261
670,262
671,263
672,264
673,263
674,264
675,265
676,266
677,267
678,268
679,269
680,270
681,269
682,270
683,269
684,270
685,271
686,270
687,271
688,272
689,273
690,274
691,273
692,274
693,275
694,276
695,275
696,274
697,275
698,276
699,275
700,274
701,275
702,274
703,275
704,274
705,275
706,276
707,277
708,278
709,279
710,278
711,279
712,278
713,279
714,280
715,281
716,282
717,283
718,282
719,281
720,282
721,283
722,282
723,281
724,282
725,283
726,284
727,285
728,284
729,285
730,284
731,285
732,284
733,283
734,284
735,285
736,284
737,283
738,284
739,283
740,284
741,283
742,282
743,283
744,282
745,283
746,284
747,285
748,286
749,285
750,286
751,287
752,286
753,287
754,288
755,289
756,290
757,291
758,292
759,293
760,292
761,291
762,292
763,293
764,294
765,295
766,296
767,297
768,298
769,297
770,296
771,297
772,298
773,299
774,300
775,301
776,302
777,303
778,304
779,305
780,306
781,307
782,308
783,307
784,308
785,309
786,308
787,309
788,308
789,309
790,310
791,311
792,312
793,313
794,314
795,315
796,316
797,317
798,316
799,315
800,316
801,317
802,316
803,317
804,318
805,319
806,320
807,321
808,320
809,321
810,322
811,323
812,322
813,321
814,320
815,321
816,322
817,321
818,322
819,323
820,324
821,323
822,322
823,323
824,324
825,323
826,322
827,323
828,324
829,325
830,326
831,327
832,328
833,329
834,330
835,329
836,330
837,331
838,332
839,333
840,332
841,331
842,330
843,331
844,332
845,333
846,334
847,333
848,334
849,333
850,332
851,333
852,334
853,333
854,332
855,333
856,332
857,333
858,332
859,331
860,332
861,331
862,330
863,331
864,332
865,333
866,334
867,333
868,334
869,333
870,332
871,333
872,332
873,333
874,334
875,333
876,334
877,333
878,334
879,335
880,336
881,337
882,338
883,339
884,340
885,339
886,340
887,341
888,342
889,343
890,342
891,343
892,342
893,341
894,340
895,341
896,342
897,343
898,344
899,345
900,344
901,343
902,344
903,343
904,342
905,341
906,342
907,343
908,344
909,345
910,346
911,347
912,348
913,347
914,346
915,347
916,346
917,347
918,346
919,347
920,348
921,347
922,346
923,345
924,346
925,345
926,344
927,345
928,344
929,345
930,346
931,345
932,346
933,347
934,346
935,347
936,346
937,345
938,346
939,347
940,346
941,347
942,348
943,349
944,350
945,349
946,348
947,349
948,350
949,351
950,352
951,351
952,352
953,351
954,352
955,353
956,352
957,353
958,352
959,353
960,354
961,355
962,356
963,357
964,358
965,359
966,360
967,361
968,362
969,361
970,360
971,359
972,360
973,361
974,362
975,363
976,364
977,365
978,366
979,365
980,364
981,363
982,364
983,365
984,366
985,367
986,366
987,365
988,366
989,365
990,366
991,367
992,366
993,367
994,368
995,367
996,368
997,369
998,370
999,371
1000,372
1001,373
1002,374
1003,375
1004,376
1005,375
1006,376
1007,375
1008,374
1009,375
1010,376
1011,377
1012,376
1013,375
1014,376
1015,377
1016,378
1017,379
1018,380
1019,379
1020,378
1021,379
1022,380
1023,381
1024,382
1025,381
1026,382
1027,383
1028,382
1029,381
1030,382
1031,383
1032,382
1033,383
1034,384
1035,383
1036,384
1037,385
1038,386
1039,387
1040,388
1041,389
1042,390
1043,391
1044,390
1045,391
1046,390
1047,391
1048,392
1049,391
1050,392
1051,393
1052,394
1053,395
1054,394
1055,395
1056,396
1057,395
1058,396
1059,397
1060,396
1061,397
1062,398
1063,399
1064,400
1065,401
1066,402
1067,403
1068,402
1069,403
1070,404
1071,403
1072,404
1073,403
1074,404
1075,403
1076,404
1077,403
1078,404
1079,405
1080,404
1081,405
1082,406
1083,405
1084,406
1085,407
1086,408
1087,409
1088,410
1089,409
1090,408
1091,409
1092,410
1093,411
1094,412
1095,411
1096,410
1097,411
1098,412
1099,413
1100,414
1101,415
1102,416
1103,417
1104,416
1105,417
1106,418
1107,419
1108,420
1109,421
1110,422
1111,421
1112,422
1113,423
1114,424
1115,425
1116,426
1117,427
1118,428
1119,429
1120,428
1121,429
1122,428
1123,427
1124,428
1125,429
1126,430
1127,431
1128,430
1129,429
1130,430
1131,431
1132,432
1133,433
1134,434
1135,435
1136,436
1137,437
1138,438
1139,439
1140,440
1141,441
1142,442
1143,443
1144,442
1145,443
1146,442
1147,441
1148,442
1149,443
1150,444
1151,443
1152,444
1153,445
1154,446
1155,447
1156,448
1157,449
1158,450
1159,449
1160,448
1161,449
1162,450
1163,451
1164,452
1165,451
1166,452
1167,453
1168,454
1169,453
1170,452
1171,453
1172,454
1173,455
1174,454
1175,455
1176,456
1177,457
1178,456
1179,457
1180,458
1181,457
1182,456
1183,457
1184,458
1185,459
1186,458
1187,459
1188,458
1189,457
1190,458
1191,459
1192,460
1193,461
1194,462
1195,463
1196,464
1197,465
1198,466
1199,467
1200,468
1201,469
1202,470
1203,471
1204,472
1205,471
1206,470
1207,471
1208,470
1209,471
1210,472
1211,471
1212,472
1213,471
1214,470
1215,471
1216,470
1217,471
1218,470
1219,471
1220,472
1221,471
1222,472
1223,471
1224,472
1225,473
1226,472
1227,471
1228,472
1229,473
1230,474
1231,475
1232,476
1233,477
1234,478
1235,479
1236,480
1237,481
1238,482
1239,483
1240,484
1241,483
1242,482
1243,483
1244,484
1245,483
1246,484
1247,485
1248,484
1249,485
1250,486
1251,487
1252,488
1253,487
1254,486
1255,487
1256,486
1257,487
1258,488
1259,489
1260,490
1261,489
1262,488
1263,489
1264,490
1265,491
1266,492
1267,491
1268,490
1269,491
1270,490
1271,489
1272,490
1273,491
1274,492
1275,493
1276,492
1277,493
1278,492
1279,493
1280,492
1281,491
1282,490
1283,491
1284,490
1285,489
1286,490
1287,491
1288,490
1289,491
1290,492
1291,493
1292,494
1293,495
1294,494
1295,495
1296,494
1297,495
1298,494
1299,495
1300,496
1301,497
1302,498
1303,499
1304,500
1305,501
1306,502
1307,501
1308,502
1309,503
1310,504
1311,505
1312,506
1313,507
1314,508
1315,509
1316,508
1317,509
1318,510
1319,509
1320,510
1321,511
1322,510
1323,511
1324,512
1325,513
1326,514
1327,515
1328,516
1329,517
1330,518
1331,517
1332,518
1333,517
1334,518
1335,519
1336,518
1337,519
1338,520
1339,521
1340,522
1341,523
1342,524
1343,523
1344,524
1345,525
1346,526
1347,527
1348,528
1349,529
1350,530
1351,529
1352,528
1353,527
1354,528
1355,529
1356,528
1357,529
1358,528
1359,529
1360,530
1361,529
1362,530
1363,531
1364,532
1365,533
1366,532
1367,531
1368,530
1369,529
1370,530
1371,531
1372,532
1373,531
1374,532
1375,531
1376,530
1377,531
1378,532
1379,531
1380,530
1381,531
1382,532
1383,533
1384,532
1385,533
1386,534
1387,535
1388,536
1389,535
1390,536
1391,535
1392,534
1393,535
1394,536
1395,537
1396,536
1397,537
1398,536
1399,535
1400,536
1401,535
1402,536
1403,535
1404,536
1405,537
1406,538
1407,539
1408,540
1409,541
1410,542
1411,541
1412,540
1413,541
1414,542
1415,543
1416,544
1417,545
1418,546
1419,547
1420,548
1421,549
1422,550
1423,551
1424,550
1425,551
1426,552
1427,553
1428,554
1429,555
1430,554
1431,555
1432,556
1433,557
1434,558
1435,559
1436,560
1437,561
1438,562
1439,561
1440,562
1441,563
1442,564
1443,565
1444,566
1445,567
1446,568
1447,569
1448,570
1449,571
1450,572
1451,573
1452,574
1453,575
1454,576
1455,577
1456,576
1457,577
1458,578
1459,579
1460,580
1461,581
1462,580
1463,579
1464,578
1465,579
1466,580
1467,579
1468,578
1469,579
1470,578
1471,579
1472,580
1473,579
1474,580
1475,579
1476,578
1477,577
1478,578
1479,579
1480,580
1481,581
1482,582
1483,583
1484,584
1485,583
1486,582
1487,583
1488,584
1489,583
1490,584
1491,585
1492,586
1493,585
1494,586
1495,587
1496,586
1497,585
1498,586
1499,587
1500,588
1501,587
1502,588
1503,589
1504,588
1505,587
1506,588
1507,589
1508,588
1509,587
1510,586
1511,587
1512,586
1513,587
1514,588
1515,587
1516,586
1517,587
1518,588
1519,587
1520,586
1521,587
1522,586
1523,585
1524,586
1525,587
1526,586
1527,587
1528,588
1529,589
1530,588
1531,589
1532,588
1533,587
1534,586
1535,585
1536,584
1537,585
1538,586
1539,587
1540,586
1541,585
1542,586
1543,587
1544,586
1545,587
1546,586
1547,587
1548,586
1549,585
1550,586
1551,585
1552,586
1553,587
1554,586
1555,587
1556,588
1557,589
1558,588
1559,587
1560,586
1561,585
1562,584
1563,585
1564,586
1565,587
1566,588
1567,589
1568,590
1569,591
1570,592
1571,593
1572,594
1573,593
1574,594
1575,593
1576,594
1577,595
1578,596
1579,595
1580,596
1581,597
1582,598
1583,597
1584,598
1585,597
1586,596
1587,597
1588,596
1589,595
1590,596
1591,595
1592,594
1593,593
1594,594
1595,595
1596,596
1597,597
1598,598
1599,599
1600,600
1601,601
1602,602
1603,603
1604,604
1605,605
1606,606
1607,607
1608,608
1609,609
1610,610
1611,609
1612,610
1613,609
1614,610
1615,611
1616,612
1617,613
1618,614
1619,615
1620,616
1621,617
1622,616
1623,617
1624,618
1625,619
1626,620
1627,621
1628,622
1629,621
1630,622
1631,623
1632,622
1633,621
1634,620
1635,619
1636,618
1637,619
1638,620
1639,621
1640,622
1641,621
1642,620
1643,621
1644,620
1645,621
1646,620
1647,621
1648,622
1649,623
1650,622
1651,623
1652,624
1653,625
1654,626
1655,627
1656,628
1657,629
1658,628
1659,629
1660,630
1661,629
1662,630
1663,631
1664,630
1665,629
1666,628
1667,629
1668,630
1669,629
1670,630
1671,629
1672,630
1673,631
1674,632
1675,631
1676,632
1677,631
1678,630
1679,631
1680,632
1681,633
1682,634
1683,635
1684,634
1685,635
1686,634
1687,633
1688,632
1689,631
1690,630
1691,629
1692,628
1693,627
1694,628
1695,627
1696,628
1697,627
1698,628
1699,627
1700,628
1701,627
1702,628
1703,629
1704,630
1705,631
1706,632
1707,633
1708,634
1709,635
1710,636
1711,637
1712,636
1713,635
1714,636
1715,635
1716,636
1717,637
1718,636
1719,635
1720,636
1721,635
1722,634
1723,635
1724,636
1725,635
1726,636
1727,635
1728,636
1729,637
1730,638
1731,639
1732,640
1733,641
1734,640
1735,641
1736,640
1737,639
1738,638
1739,639
1740,640
1741,639
1742,640
1743,641
1744,642
1745,643
1746,642
1747,641
1748,640
1749,641
1750,642
1751,643
1752,644
1753,645
1754,646
1755,647
1756,648
1757,647
1758,648
1759,649
1760,648
1761,649
1762,650
1763,651
1764,652
1765,653
1766,654
1767,655
1768,656
1769,655
1770,654
1771,655
1772,656
1773,657
1774,658
1775,659
1776,660
1777,661
1778,662
1779,661
1780,660
1781,661
1782,660
1783,659
1784,658
1785,657
1786,658
1787,659
1788,658
1789,657
1790,658
1791,659
1792,660
1793,659
1794,660
1795,659
1796,660
1797,659
1798,660
1799,661
1800,662
1801,663
1802,664
1803,663
1804,662
1805,663
1806,664
1807,665
1808,664
1809,665
1810,664
1811,663
1812,662
1813,663
1814,662
1815,661
1816,662
1817,663
1818,664
1819,665
1820,666
1821,667
1822,668
1823,669
1824,668
1825,669
1826,670
1827,669
1828,670
1829,671
1830,672
1831,673
1832,674
1833,675
1834,674
1835,673
1836,674
1837,675
1838,676
1839,677
1840,678
1841,679
1842,680
1843,679
1844,680
1845,681
1846,682
1847,683
1848,684
1849,683
1850,682
1851,683
1852,682
1853,683
1854,684
1855,683
1856,684
1857,685
1858,686
1859,685
1860,686
1861,685
1862,686
1863,685
1864,686
1865,687
1866,686
1867,687
1868,688
1869,689
1870,688
1871,689
1872,688
1873,689
1874,690
1875,689
1876,688
1877,687
1878,686
1879,685
1880,684
1881,685
1882,686
1883,687
1884,688
1885,687
1886,688
1887,689
1888,688
1889,687
1890,688
1891,689
1892,690
1893,691
1894,692
1895,693
1896,694
1897,695
1898,696
1899,695
1900,696
1901,697
1902,698
1903,699
1904,700
1905,701
1906,702
1907,703
1908,704
1909,705
1910,704
1911,703
1912,704
1913,703
1914,704
1915,705
1916,706
1917,705
1918,706
1919,707
1920,708
1921,707
1922,708
1923,709
1924,710
1925,711
1926,710
1927,711
1928,712
1929,713
1930,714
1931,713
1932,714
1933,713
1934,714
1935,713
1936,714
1937,715
1938,716
1939,715
1940,716
1941,717
1942,718
1943,719
1944,720
1945,721
1946,722
1947,723
1948,724
1949,725
1950,726
1951,727
1952,726
1953,725
1954,726
1955,725
1956,726
1957,725
1958,724
1959,725
1960,726
1961,727
1962,726
1963,725
1964,724
1965,723
1966,722
1967,721
1968,722
1969,723
1970,722
1971,721
1972,722
1973,723
1974,724
1975,723
1976,722
1977,721
1978,720
1979,721
1980,720
1981,721
1982,722
1983,723
1984,722
1985,723
1986,722
1987,723
1988,724
1989,725
1990,726
1991,727
1992,726
1993,725
1994,726
1995,727
1996,726
1997,725
1998,726
1999,727
2000,728
2001,727
2002,728
2003,729
2004,730
2005,731
2006,732
2007,731
2008,732
2009,731
2010,732
2011,733
2012,734
2013,735
2014,736
2015,737
2016,738
2017,737
2018,736
2019,737
2020,736
2021,737
2022,738
2023,739
2024,738
2025,737
2026,738
2027,739
2028,738
2029,737
2030,736
2031,735
2032,736
2033,735
2034,736
2035,737
2036,738
2037,737
2038,738
2039,739
2040,738
2041,739
2042,740
2043,741
2044,742
2045,743
2046,742
2047,743
2048,744
2049,745
2050,746
2051,747
2052,748
2053,749
2054,750
2055,749
2056,750
2057,749
2058,750
2059,749
2060,750
2061,751
2062,750
2063,751
2064,752
2065,751
2066,752
2067,753
2068,752
2069,753
2070,754
2071,755
2072,756
2073,757
2074,758
2075,759
2076,760
2077,761
2078,760
2079,761
2080,762
2081,761
2082,762
2083,761
2084,762
2085,763
2086,764
2087,765
2088,764
2089,765
2090,764
2091,763
2092,764
2093,765
2094,766
2095,765
2096,764
2097,763
2098,764
2099,765
2100,764
2101,765
2102,766
2103,767
2104,768
2105,767
2106,766
2107,767
2108,766
2109,767
2110,768
2111,769
2112,770
2113,771
2114,770
2115,769
2116,770
2117,771
2118,772
2119,773
2120,772
2121,771
2122,770
2123,771
2124,772
2125,773
2126,774
2127,773
2128,774
2129,775
2130,776
2131,777
2132,778
2133,777
2134,776
2135,777
2136,776
2137,777
2138,778
2139,777
2140,778
2141,777
2142,778
2143,779
2144,780
2145,781
2146,782
2147,781
2148,782
2149,783
2150,782
2151,783
2152,784
2153,783
2154,784
2155,785
2156,786
2157,785
2158,786
2159,787
2160,786
2161,787
2162,788
2163,789
2164,790
2165,789
2166,788
2167,787
2168,786
2169,787
2170,788
2171,789
2172,790
2173,789
2174,790
2175,789
2176,788
2177,789
2178,790
2179,789
2180,790
2181,791
2182,792
2183,793
2184,792
2185,793
2186,794
2187,795
2188,794
2189,795
2190,794
2191,795
2192,794
2193,795
2194,794
2195,795
2196,794
2197,795
2198,796
2199,795
2200,796
2201,797
2202,798
2203,799
2204,800
2205,799
2206,798
2207,799
2208,798
2209,799
2210,800
2211,801
2212,800
2213,801
2214,802
2215,801
2216,800
2217,799
2218,798
2219,799
2220,800
2221,799
2222,800
2223,801
2224,802
2225,803
2226,804
2227,805
2228,806
2229,807
2230,808
2231,807
2232,806
2233,807
2234,808
2235,809
2236,810
2237,811
2238,812
2239,813
2240,814
2241,815
2242,814
2243,815
2244,814
2245,815
2246,814
2247,813
2248,814
2249,815
2250,816
2251,817
2252,818
2253,817
2254,816
2255,815
2256,816
2257,815
2258,816
2259,817
2260,816
2261,817
2262,818
2263,817
2264,818
2265,819
2266,820
2267,821
2268,822
2269,823
2270,824
2271,823
2272,824
2273,825
2274,826
2275,827
2276,828
2277,829
2278,828
2279,829
2280,830
2281,829
2282,828
2283,829
2284,830
2285,831
2286,832
2287,833
2288,834
2289,835
2290,836
2291,837
2292,836
2293,837
2294,838
2295,839
2296,840
2297,839
2298,840
2299,841
2300,842
2301,843
2302,844
2303,845
2304,846
2305,845
2306,844
2307,843
2308,844
2309,843
2310,844
2311,845
2312,846
2313,845
2314,844
2315,845
2316,846
2317,847
2318,848
2319,849
2320,848
2321,849
2322,850
2323,851
2324,852
2325,851
2326,850
2327,851
2328,852
2329,851
2330,852
2331,853
2332,854
2333,855
2334,854
2335,855
2336,856
2337,857
2338,858
2339,857
2340,858
2341,859
2342,858
2343,857
2344,856
2345,857
2346,856
2347,857
2348,858
2349,857
2350,858
2351,857
2352,858
2353,857
2354,858
2355,857
2356,856
2357,855
2358,856
2359,857
2360,858
2361,859
2362,858
2363,859
2364,860
2365,859
2366,860
2367,859
2368,858
2369,859
2370,860
2371,859
2372,860
2373,861
2374,862
2375,863
2376,864
2377,865
2378,866
2379,867
2380,868
2381,869
2382,868
2383,869
2384,870
2385,869
2386,868
2387,867
2388,866
2389,865
2390,866
2391,867
2392,868
2393,867
2394,866
2395,867
2396,868
2397,867
2398,868
2399,869
2400,868
2401,869
2402,870
2403,871
2404,870
2405,871
2406,872
2407,871
2408,872
2409,871
2410,870
2411,871
2412,872
2413,873
2414,874
2415,875
2416,876
2417,875
2418,874
2419,875
2420,876
2421,875
2422,876
2423,877
2424,876
2425,877
2426,878
2427,877
2428,876
2429,877
2430,878
2431,879
2432,880
2433,881
2434,882
2435,883
2436,884
2437,885
2438,884
2439,883
2440,884
2441,885
2442,884
2443,885
2444,886
2445,885
2446,886
2447,887
2448,888
2449,889
2450,890
2451,891
2452,892
2453,891
2454,890
2455,891
2456,892
2457,893
2458,894
2459,893
2460,894
2461,895
2462,894
2463,895
2464,894
2465,895
2466,896
2467,897
2468,896
2469,897
2470,898
2471,897
2472,898
2473,899
2474,900
2475,901
2476,900
2477,901
2478,900
2479,901
2480,902
2481,903
2482,904
2483,905
2484,904
2485,905
2486,904
2487,903
2488,904
2489,905
2490,906
2491,905
2492,906
2493,907
2494,908
2495,909
2496,910
2497,911
2498,912
2499,911
2500,912
2501,913
2502,912
2503,911
2504,912
2505,913
2506,912
2507,911
2508,910
2509,911
2510,912
2511,913
2512,912
2513,913
2514,912
2515,911
2516,912
2517,911
2518,910
2519,911
2520,912
2521,913
2522,912
2523,911
2524,912
2525,913
2526,914
2527,913
2528,912
2529,913
2530,914
2531,915
2532,916
2533,917
2534,918
2535,917
2536,918
2537,917
2538,916
2539,915
2540,914
2541,915
2542,916
2543,915
2544,916
2545,917
2546,916
2547,915
2548,916
2549,917
2550,918
2551,919
2552,920
2553,921
2554,920
2555,919
2556,920
2557,919
2558,920
2559,921
2560,920
2561,921
2562,920
2563,921
2564,922
2565,923
2566,924
2567,925
2568,926
2569,927
2570,928
2571,929
2572,928
2573,929
2574,930
2575,931
2576,932
2577,931
2578,932
2579,931
2580,930
2581,931
2582,930
2583,931
2584,932
2585,933
2586,934
2587,935
2588,934
2589,935
2590,936
2591,937
2592,938
2593,939
2594,940
2595,939
2596,940
2597,941
2598,942
2599,941
2600,942
2601,943
2602,944
2603,945
2604,946
2605,947
2606,946
2607,947
2608,948
2609,949
2610,948
2611,947
2612,946
2613,947
2614,946
2615,947
2616,948
2617,947
2618,946
2619,945
2620,946
2621,945
2622,944
2623,945
2624,946
2625,947
2626,946
2627,945
2628,946
2629,947
2630,948
2631,947
2632,948
2633,947
2634,948
2635,949
2636,950
2637,951
2638,952
2639,953
2640,954
2641,955
2642,956
2643,957
2644,958
2645,957
2646,958
2647,959
2648,960
2649,959
2650,960
2651,961
2652,962
2653,963
2654,964
2655,965
2656,966
2657,965
2658,966
2659,967
2660,968
2661,967
2662,968
2663,969
2664,970
2665,971
2666,970
2667,969
2668,968
2669,969
2670,970
2671,969
2672,968
2673,969
2674,970
2675,971
2676,972
2677,971
2678,972
2679,971
2680,970
2681,969
2682,968
2683,967
2684,968
2685,969
2686,970
2687,971
2688,972
2689,973
2690,972
2691,971
2692,972
2693,971
2694,972
2695,973
2696,974
2697,975
2698,976
2699,975
2700,976
2701,977
2702,978
2703,977
2704,976
2705,977
2706,978
2707,979
2708,978
2709,977
2710,976
2711,977
2712,976
2713,975
2714,976
2715,977
2716,976
2717,977
2718,978
2719,977
2720,976
2721,977
2722,976
2723,975
2724,976
2725,975
2726,974
2727,975
2728,976
2729,975
2730,976
2731,975
2732,976
2733,975
2734,974
2735,973
2736,974
2737,973
2738,972
2739,973
2740,972
2741,973
2742,974
2743,975
2744,976
2745,975
2746,976
2747,977
2748,976
2749,977
2750,976
2751,977
2752,976
2753,977
2754,976
2755,977
2756,978
2757,977
2758,976
2759,977
2760,978
2761,979
2762,980
2763,981
2764,982
2765,981
2766,982
2767,983
2768,982
2769,983
2770,984
2771,985
2772,986
2773,987
2774,988
2775,987
2776,988
2777,989
2778,990
2779,991
2780,992
2781,993
2782,992
2783,993
2784,992
2785,993
2786,994
2787,995
2788,996
2789,997
2790,998
2791,997
2792,998
2793,999
2794,998
2795,999
2796,1000
2797,1001
2798,1002
2799,1001
2800,1002
2801,1003
2802,1004
2803,1005
2804,1004
2805,1005
2806,1006
2807,1007
2808,1006
2809,1007
2810,1006
2811,1005
2812,1006
2813,1007
2814,1006
2815,1007
2816,1008
2817,1007
2818,1006
2819,1007
2820,1008
2821,1007
2822,1008
2823,1009
2824,1010
2825,1009
2826,1010
2827,1009
2828,1008
2829,1007
2830,1008
2831,1007
2832,1006
2833,1007
2834,1006
2835,1005
2836,1006
2837,1007
2838,1008
2839,1009
2840,1010
2841,1011
2842,1012
2843,1013
2844,1014
2845,1013
2846,1014
2847,1015
2848,1014
2849,1015
2850,1014
2851,1015
2852,1016
2853,1015
2854,1016
2855,1017
2856,1016
2857,1017
2858,1016
2859,1017
2860,1016
2861,1015
2862,1016
2863,1017
2864,1018
2865,1019
2866,1020
2867,1021
2868,1020
2869,1019
2870,1018
2871,1019
2872,1018
2873,1017
2874,1018
2875,1017
2876,1018
2877,1019
2878,1020
2879,1019
2880,1020
2881,1021
2882,1022
2883,1021
2884,1022
2885,1023
2886,1024
2887,1025
2888,1024
2889,1023
2890,1024
2891,1025
2892,1026
2893,1027
2894,1028
2895,1029
2896,1030
2897,1031
2898,1032
2899,1033
2900,1032
2901,1033
2902,1034
2903,1033
2904,1034
2905,1035
2906,1036
2907,1035
2908,1034
2909,1035
2910,1036
2911,1037
2912,1038
2913,1039
2914,1040
2915,1039
2916,1040
2917,1041
2918,1042
2919,1043
2920,1044
2921,1045
2922,1044
2923,1045
2924,1044
2925,1045
2926,1046
2927,1047
2928,1048
2929,1049
2930,1050
2931,1049
2932,1050
2933,1051
2934,1052
2935,1053
2936,1054
2937,1055
2938,1056
2939,1055
2940,1056
2941,1057
2942,1056
2943,1055
2944,1056
2945,1057
2946,1058
2947,1057
2948,1058
2949,1059
2950,1058
2951,1059
2952,1060
2953,1061
2954,1062
2955,1063
2956,1064
2957,1065
2958,1064
2959,1065
2960,1066
2961,1067
2962,1066
2963,1065
2964,1064
